id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177830,2024-01-05,000001,Vente,390000,,,COURCELLES,B243,97180,97128,Sainte-Anne,971,,,97128000AC2778,,,,,,,,,,,,,0,1,Maison,58,3,AB,terrains a bâtir,,,1000,-61.33034,16.255432
2024-1177830,2024-01-05,000001,Vente,390000,,,COURCELLES,B243,97180,97128,Sainte-Anne,971,,,97128000AC2778,,,,,,,,,,,,,0,1,Maison,163,4,AB,terrains a bâtir,,,1000,-61.33034,16.255432
2024-1177835,2024-01-05,000001,Vente,130000,9999,,SEO,B768,97180,97128,Sainte-Anne,971,,,97128000AI1416,,,603,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,541,0,,,,,,-61.32776,16.243388
2024-1177861,2024-01-08,000001,Vente,110000,,,BUDAN,B176,97180,97128,Sainte-Anne,971,,,97128000AD0972,,,,,,,,,,,,,0,,,,,T,terres,,,873,-61.380201,16.275825
2024-1177861,2024-01-08,000001,Vente,110000,,,BUDAN,B176,97180,97128,Sainte-Anne,971,,,97128000AD0976,,,,,,,,,,,,,0,,,,,T,terres,,,894,-61.380517,16.276278
2024-1177910,2024-01-22,000001,Vente,145000,,,DUPRE,B288,97180,97128,Sainte-Anne,971,,,97128000AM1338,,,,,,,,,,,,,0,,,,,T,terres,,,836,-61.390529,16.230375
2024-1177910,2024-01-22,000001,Vente,145000,,,DUPRE,B288,97180,97128,Sainte-Anne,971,,,97128000AM1348,,,,,,,,,,,,,0,,,,,T,terres,,,1958,-61.390105,16.230529
2024-1177936,2024-02-06,000001,Vente,1482,,,GENTILLY,B384,97180,97128,Sainte-Anne,971,,,97128000AD1859,,,,,,,,,,,,,0,,,,,T,terres,,,1062,-61.369395,16.268286
2024-1177936,2024-02-06,000001,Vente,1482,,,GENTILLY,B384,97180,97128,Sainte-Anne,971,,,97128000AD1959,,,,,,,,,,,,,0,,,,,T,terres,,,1482,-61.369414,16.268694
2024-1177966,2024-01-16,000001,Vente,120000,,,LE BOURG,B168,97180,97128,Sainte-Anne,971,,,97128000AR0187,,,,,,,,,,,,,0,,,,,S,sols,,,113,-61.387519,16.223954
2024-1177977,2024-02-09,000001,Vente,89626,9999,,SEO,B768,97180,97128,Sainte-Anne,971,,,97128000AI1416,,,408,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,414,0,,,,,,-61.32776,16.243388
2024-1177989,2024-01-22,000001,Vente,99000,,,DUPRE,B288,97180,97128,Sainte-Anne,971,,,97128000AM1575,,,,,,,,,,,,,0,,,,,T,terres,,,72,-61.390506,16.230221
