id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177970,2024-02-12,000001,Vente,90000,,,BEAUPLAN,B017,97117,97122,Port-Louis,971,,,97122000AK0780,,,,,,,,,,,,,0,,,,,T,terres,,,1028,-61.467413,16.418489
2024-1178012,2024-02-07,000001,Vente,180000,8004,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AS0111,,,,,,,,,,,,,0,1,Maison,98,4,AB,terrains a bâtir,,,364,-61.524752,16.414883
2024-1178296,2024-03-11,000001,Vente,70000,,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AS0240,,,,,,,,,,,,,0,,,,,T,terres,,,719,-61.525476,16.415761
2024-1178400,2024-03-26,000001,Vente,9848.06,51,,CITE HIBISCUS A BEAUPLAN,A203,97117,97122,Port-Louis,971,,,97122000AK0738,,,,,,,,,,,,,0,1,Maison,104,4,T,terres,,,1059,-61.466949,16.418528
2024-1178404,2024-03-18,000001,Vente,275000,9014,4,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AS0144,,,,,,,,,,,,,0,1,Maison,103,3,S,sols,,,706,-61.523278,16.416681
2024-1178475,2024-04-09,000001,Vente,45000,9300,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AO0667,,,,,,,,,,,,,0,1,Maison,49,2,S,sols,,,153,-61.531961,16.417066
2024-1178540,2024-03-19,000001,Vente,227620,,,LALANNE,B154,97117,97122,Port-Louis,971,,,97122000AM0240,,,,,,,,,,,,,0,,,,,P,prés,,,472,-61.52658,16.413983
2024-1178552,2024-04-16,000001,Vente,376999.22,1184,F,RODRIGUE,B226,97117,97122,Port-Louis,971,,,97122000AR1184,,,,,,,,,,,,,0,3,Dépendance,,0,AB,terrains a bâtir,,,615,-61.528031,16.423498
2024-1178552,2024-04-16,000001,Vente,376999.22,1184,F,RODRIGUE,B226,97117,97122,Port-Louis,971,,,97122000AR1184,,,,,,,,,,,,,0,1,Maison,83,4,AB,terrains a bâtir,,,615,-61.528031,16.423498
2024-1178634,2024-04-11,000001,Vente,182000,9034,,BEAUPLAN,B017,97117,97122,Port-Louis,971,,,97122000AK0310,,,,,,,,,,,,,0,1,Maison,31,3,S,sols,,,1467,-61.468182,16.407918
2024-1178700,2024-04-29,000002,Vente,120000,,,LAFONT GOUTTIERE,B146,97117,97122,Port-Louis,971,,,97122000AD0579,,,,,,,,,,,,,0,,,,,T,terres,,,2034,,
2024-1178806,2024-05-16,000001,Vente,128000,,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AO1110,,,,,,,,,,,,,0,,,,,S,sols,,,53,-61.52739,16.420231
2024-1178806,2024-05-16,000001,Vente,128000,,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AO1111,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,103,-61.527441,16.420314
2024-1178863,2024-05-29,000001,Vente,160000,9229,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AO0234,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,74,-61.532302,16.418969
2024-1178896,2024-06-06,000001,Vente,216500,29,,LALANNE,B154,97117,97122,Port-Louis,971,,,97122000AL0496,,,,,,,,,,,,,0,1,Maison,65,3,AB,terrains a bâtir,,,725,-61.516838,16.411905
2024-1178951,2024-05-28,000001,Vente,10000,9329,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AO0429,,,,,,,,,,,,,0,1,Maison,42,3,S,sols,,,102,-61.533661,16.419205
2024-1179000,2024-05-24,000001,Vente,60000,9401,,LE BOURG,B066,97117,97122,Port-Louis,971,,,97122000AO0719,,,,,,,,,,,,,0,1,Maison,129,6,S,sols,,,343,-61.530312,16.419808
2024-1179094,2024-06-19,000002,Vente,27150,9002,,BEAUPORT,B026,97117,97122,Port-Louis,971,,,97122000AL0703,,,,,,,,,,,,,0,1,Maison,64,5,S,sols,,,905,-61.513943,16.416273
2024-1179094,2024-06-19,000002,Vente,27150,9002,,BEAUPORT,B026,97117,97122,Port-Louis,971,,,97122000AL0703,,,,,,,,,,,,,0,1,Maison,61,4,S,sols,,,905,-61.513943,16.416273
2024-1179094,2024-06-19,000002,Vente,27150,9002,,BEAUPORT,B026,97117,97122,Port-Louis,971,,,97122000AL0703,,,,,,,,,,,,,0,1,Maison,89,5,S,sols,,,905,-61.513943,16.416273
2024-1179094,2024-06-19,000002,Vente,27150,9002,,BEAUPORT,B026,97117,97122,Port-Louis,971,,,97122000AL0703,,,,,,,,,,,,,0,1,Maison,90,4,S,sols,,,905,-61.513943,16.416273
2024-1179094,2024-06-19,000002,Vente,27150,9002,,BEAUPORT,B026,97117,97122,Port-Louis,971,,,97122000AL0703,,,,,,,,,,,,,0,2,Appartement,83,5,S,sols,,,905,-61.513943,16.416273
2024-1179094,2024-06-19,000002,Vente,27150,9002,,BEAUPORT,B026,97117,97122,Port-Louis,971,,,97122000AL0703,,,,,,,,,,,,,0,2,Appartement,15,1,S,sols,,,905,-61.513943,16.416273
2024-1179199,2024-06-24,000001,Vente,3567.31,4,,LOT SOUFFLEUR I,A552,97117,97122,Port-Louis,971,,,97122000AO0814,,,,,,,,,,,,,0,1,Maison,72,3,S,sols,,,325,-61.532007,16.421047
2024-1179200,2024-06-24,000001,Vente,2927.02,52,,LOT SOUFFLEUR I,A552,97117,97122,Port-Louis,971,,,97122000AO0862,,,,,,,,,,,,,0,1,Maison,102,3,S,sols,,,198,-61.529999,16.42056
2024-1179272,2024-07-01,000001,Vente,4464,,,RODRIGUE,B226,97117,97122,Port-Louis,971,,,97122000AR0378,,,,,,,,,,,,,0,,,,,S,sols,,,558,-61.526621,16.422134
2024-1179328,2024-06-14,000002,Vente,123660,,,GOGUETTE,B114,97117,97122,Port-Louis,971,,,97122000AB0309,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,31,-61.516516,16.451309
