id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177812,2024-01-11,000001,Vente,480000,110,,LOT BIGLETTE A PLAISANCE,A101,97122,97103,Baie-Mahault,971,,,97103000BI0542,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,601,-61.608939,16.228043
2024-1177812,2024-01-11,000001,Vente,480000,110,,LOT BIGLETTE A PLAISANCE,A101,97122,97103,Baie-Mahault,971,,,97103000BI0542,,,,,,,,,,,,,0,1,Maison,92,5,S,sols,,,601,-61.608939,16.228043
2024-1177824,2024-01-05,000001,Vente,152480,,,RES PELICAN BAY A 2 MOUDONG SU,A685,97122,97103,Baie-Mahault,971,,,97103000AT0312,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.585357,16.235999
2024-1177824,2024-01-05,000001,Vente,152480,107,,RES PELICAN BAY A 2 MOUDONG SU,A685,97122,97103,Baie-Mahault,971,,,97103000AT0312,,,108,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.585357,16.235999
2024-1177824,2024-01-05,000001,Vente,152480,107,,RES PELICAN BAY A 2 MOUDONG SU,A685,97122,97103,Baie-Mahault,971,,,97103000AT0312,,,108,,,,,,,,,,1,2,Appartement,51,2,,,,,,-61.585357,16.235999
2024-1177834,2024-01-09,000001,Vente,241000,3,,LA RETRAITE,B376,97122,97103,Baie-Mahault,971,,,97103000BL0751,,,,,,,,,,,,,0,1,Maison,92,3,S,sols,,,800,-61.62066,16.234629
2024-1177869,2024-01-05,000001,Vente,412500,97,,LOT LES COLIBRIS A CONVENANCE,A464,97122,97103,Baie-Mahault,971,,,97103000AV0421,,,,,,,,,,,,,0,1,Maison,103,4,S,sols,,,935,-61.60109,16.233832
2024-1177887,2024-01-08,000001,Vente,420000,,,LES ABRICOTS,B008,97122,97103,Baie-Mahault,971,,,97103000BD0178,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,837,-61.626832,16.252083
2024-1177887,2024-01-08,000001,Vente,420000,4,,LES ABRICOTS,B008,97122,97103,Baie-Mahault,971,,,97103000BD0182,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,703,-61.626785,16.252275
2024-1177887,2024-01-08,000001,Vente,420000,4,,LES ABRICOTS,B008,97122,97103,Baie-Mahault,971,,,97103000BD0182,,,,,,,,,,,,,0,1,Maison,166,5,S,sols,,,703,-61.626785,16.252275
2024-1177945,2024-02-02,000001,Vente,3760000,21,,RUE FERDINAND FOREST,0314,97122,97103,Baie-Mahault,971,,,97103000AN0059,,,1,1498.03,,,,,,,,,1,4,Local industriel. commercial ou assimilé,680,0,,,,,,-61.56474,16.240726
2024-1177945,2024-02-02,000001,Vente,3760000,21,,RUE FERDINAND FOREST,0314,97122,97103,Baie-Mahault,971,,,97103000AN0059,,,1,1498.03,,,,,,,,,1,4,Local industriel. commercial ou assimilé,20,0,,,,,,-61.56474,16.240726
2024-1177951,2024-01-17,000001,Vente,172800,,,FOND BOISNEUF,B208,97122,97103,Baie-Mahault,971,,,97103000AS0432,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1000,-61.579348,16.246473
2024-1177956,2024-02-08,000001,Vente,311360,6428,,BD DE LA BAIE LA MAHAULTIERE,0053,97122,97103,Baie-Mahault,971,,,97103000AX0376,,,,,,,,,,,,,0,1,Maison,114,5,S,sols,,,200,-61.590106,16.25674
2024-1177964,2024-01-22,000001,Vente terrain à bâtir,2193.93,5475,,TERRAIN CHALDER,B404,97122,97103,Baie-Mahault,971,,,97103000AE1380,,,,,,,,,,,,,0,1,Maison,15,2,S,sols,,,160,-61.585471,16.266196
2024-1177965,2024-01-19,000001,Vente terrain à bâtir,30011,,,LE BOURG,B083,97122,97103,Baie-Mahault,971,,,97103000AE1310,,,,,,,,,,,,,0,,,,,S,sols,,,238,-61.58485,16.265939
2024-1177967,2024-01-25,000002,Vente,350000,429,F,BRAGELOGNE,B088,97122,97103,Baie-Mahault,971,,,97103000BP1161,,,,,,,,,,,,,0,1,Maison,122,4,S,sols,,,511,-61.623027,16.222658
2024-1177967,2024-01-25,000002,Vente,350000,429,F,BRAGELOGNE,B088,97122,97103,Baie-Mahault,971,,,97103000BP1161,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,511,-61.623027,16.222658
2024-1177978,2024-01-19,000001,Vente,80000,21,,RUE SCHOELCHER,0730,97122,97103,Baie-Mahault,971,,,97103000AE0326,,,,,,,,,,,,,0,1,Maison,34,4,S,sols,,,63,-61.58559,16.266818
2024-1177978,2024-01-19,000001,Vente,80000,21,,RUE SCHOELCHER,0730,97122,97103,Baie-Mahault,971,,,97103000AE0326,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,63,-61.58559,16.266818
2024-1177993,2024-01-20,000001,Vente,700000,8,,RUE DE L INDUSTRIE A JARRY,0410,97122,97103,Baie-Mahault,971,,,97103000AM0067,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,250,0,S,sols,,,497,-61.556859,16.237008
2024-1178004,2024-02-19,000001,Vente,133333,,,RES LE CARRE PLAISANCE,A586,97122,97103,Baie-Mahault,971,,,97103000BI0680,,,138,,30,,,,,,,,2,2,Appartement,40,2,,,,,,-61.607292,16.229487
2024-1178004,2024-02-19,000001,Vente,133333,,,RES LE CARRE PLAISANCE,A586,97122,97103,Baie-Mahault,971,,,97103000BI0680,,,138,,30,,,,,,,,2,3,Dépendance,,0,,,,,,-61.607292,16.229487
2024-1178031,2024-01-25,000001,Vente,138250,,,CASTERA,B136,97122,97103,Baie-Mahault,971,,,97103000BL1106,,,,,,,,,,,,,0,,,,,T,terres,,,553,-61.620852,16.236516
2024-1178031,2024-01-25,000001,Vente,138250,,,CASTERA,B136,97122,97103,Baie-Mahault,971,,,97103000BL1107,,,,,,,,,,,,,0,,,,,T,terres,,,431,-61.621325,16.236508
2024-1178031,2024-01-25,000001,Vente,138250,,,CASTERA,B136,97122,97103,Baie-Mahault,971,,,97103000BL1108,,,,,,,,,,,,,0,,,,,T,terres,,,464,-61.621425,16.236517
2024-1178031,2024-01-25,000001,Vente,138250,,,CASTERA,B136,97122,97103,Baie-Mahault,971,,,97103000BL1115,,,,,,,,,,,,,0,,,,,T,terres,,,285,-61.621819,16.2363
