id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177820,2024-01-09,000001,Vente,185000,8,,RUE DU PROGRES,0434,97130,97107,Capesterre-Belle-Eau,971,,,97107000AO0249,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,150,0,S,sols,,,292,-61.563386,16.050249
2024-1177825,2024-01-09,000001,Vente,80000,51,,RUE MORNE D'OR,0171,97130,97107,Capesterre-Belle-Eau,971,,,97107000BV0178,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,500,-61.573311,16.056384
2024-1177870,2024-01-23,000001,Vente,20000,,,PETIT MARQUISAT,B098,97130,97107,Capesterre-Belle-Eau,971,,,97107000AW0164,,,,,,,,,,,,,0,,,,,T,terres,,,1040,-61.611876,16.045922
2024-1177874,2024-01-23,000001,Vente,20000,1986,,RTE DE PETIT MARQUISAT,0201,97130,97107,Capesterre-Belle-Eau,971,,,97107000AW0163,,,,,,,,,,,,,0,1,Maison,59,2,S,sols,,,1038,-61.612135,16.045953
2024-1178001,2024-01-19,000001,Vente,18411.96,10,,RESIDENCE BALISIER,1001,97130,97107,Capesterre-Belle-Eau,971,,,97107000AT1640,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,483,-61.57059,16.049384
2024-1178030,2024-02-05,000001,Vente,345000,9566,,CHANGY,B032,97130,97107,Capesterre-Belle-Eau,971,,,97107000AK0566,,,,,,,,,,,,,0,1,Maison,98,4,S,sols,,,937,-61.56913,16.077361
2024-1178063,2024-02-07,000001,Vente,100000,152,,ALL DES BOUGAINVILLIERS,0074,97130,97107,Capesterre-Belle-Eau,971,,,97107000AP0025,,,,,,,,,,,,,0,1,Maison,67,3,S,sols,,,352,-61.566355,16.046254
2024-1178142,2024-02-19,000001,Vente,275000,1080,,MARQUISAT,B077,97130,97107,Capesterre-Belle-Eau,971,,,97107000AT1080,,,,,,,,,,,,,0,1,Maison,77,4,AB,terrains a bâtir,,,901,-61.5751,16.043132
2024-1178189,2024-02-22,000001,Vente,10000,346,,BD FRONT DE MER,0087,97130,97107,Capesterre-Belle-Eau,971,,,97107000AN0580,,,,,,,,,,,,,0,1,Maison,48,4,S,sols,,,134,-61.557538,16.051287
2024-1178192,2024-02-21,000001,Vente,31808.49,1209,A,MOULIN A EAU,B090,97130,97107,Capesterre-Belle-Eau,971,,,97107000AT1209,,,,,,,,,,,,,0,1,Maison,105,4,S,sols,,,162,-61.569076,16.035902
2024-1178246,2024-03-06,000001,Vente,458500,2473,,RUE DE CARANGAISE,0048,97130,97107,Capesterre-Belle-Eau,971,,,97107000AC0357,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1044,-61.580238,16.079541
2024-1178246,2024-03-06,000001,Vente,458500,2473,,RUE DE CARANGAISE,0048,97130,97107,Capesterre-Belle-Eau,971,,,97107000AC0357,,,,,,,,,,,,,0,1,Maison,230,5,S,sols,,,1044,-61.580238,16.079541
2024-1178387,2024-03-14,000001,Vente,8000,,,RUE GAMBETTA,0230,97130,97107,Capesterre-Belle-Eau,971,,,97107000AP0861,,,,,,,,,,,,,0,,,,,S,sols,,,138,-61.566621,16.044909
