id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177814,2024-01-09,000001,Vente,110000,,,RTE DE L ANC DIST MON PLAISIR,0070,97129,97115,Lamentin,971,,,97115000AL1297,,,,,,,,,,,,,0,,,,,T,terres,,,1000,-61.643056,16.267603
2024-1177819,2024-01-12,000001,Vente,140000,,,RTE NATIONALE,0082,97129,97115,Lamentin,971,,,97115000BD0876,,,,,,,,,,,,,0,,,,,T,terres,,,793,-61.669493,16.270441
2024-1177846,2024-01-18,000001,Vente,290000,2,,CHE DE BOYER,0077,97129,97115,Lamentin,971,,,97115000BH0663,,,,,,,,,,,,,0,1,Maison,130,4,S,sols,,,589,-61.653095,16.262455
2024-1177846,2024-01-18,000001,Vente,290000,,,RTE DE BOISBERT,0075,97129,97115,Lamentin,971,,,97115000BH0670,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,291,-61.653109,16.262251
2024-1177878,2024-01-16,000001,Vente,140000,,,CHE DE MORGATE,0033,97129,97115,Lamentin,971,,,97115000BC0561,,,,,,,,,,,,,0,,,,,T,terres,,,1327,-61.671724,16.257951
2024-1177880,2024-01-24,000001,Vente,120000,,,BREFORT,B132,97129,97115,Lamentin,971,,,97115000BI0407,,,,,,,,,,,,,0,,,,,T,terres,,,1935,-61.647807,16.262611
2024-1177899,2024-01-26,000001,Vente,125345,,,CHE DE RAVINE HOUEL,0085,97129,97115,Lamentin,971,,,97115000BD1020,,,,,,,,,,,,,0,,,,,T,terres,,,550,-61.665488,16.26757
2024-1177899,2024-01-26,000001,Vente,125345,,,CHE DE RAVINE HOUEL,0085,97129,97115,Lamentin,971,,,97115000BD1025,,,,,,,,,,,,,0,,,,,T,terres,,,1311,-61.665827,16.26787
2024-1177923,2024-01-24,000001,Vente,350000,11,,LEMERCIER,B364,97129,97115,Lamentin,971,,,97115000AL0914,,,,,,,,,,,,,0,1,Maison,98,4,S,sols,,,800,-61.649392,16.250173
2024-1177974,2024-02-06,000001,Vente,182000,,,RES BADIANE A BOREL,A002,97129,97115,Lamentin,971,,,97115000AE0245,,,177,,76,,,,,,,,2,2,Appartement,65,4,,,,,,-61.631566,16.261908
2024-1177974,2024-02-06,000001,Vente,182000,,,RES BADIANE A BOREL,A002,97129,97115,Lamentin,971,,,97115000AE0245,,,177,,76,,,,,,,,2,3,Dépendance,,0,,,,,,-61.631566,16.261908
2024-1177982,2024-01-29,000001,Vente,349000,364,F,RUE DE L'APPEL DU 18 JUIN,0001,97129,97115,Lamentin,971,,,97115000AI0364,,,,,,,,,,,,,0,1,Maison,112,4,P,prés,,,651,-61.634803,16.274489
2024-1177990,2024-02-05,000001,Vente,126485,,,CHE DE RAVINE HOUEL,0085,97129,97115,Lamentin,971,,,97115000BD1009,,,,,,,,,,,,,0,,,,,T,terres,,,555,-61.665402,16.267962
2024-1177990,2024-02-05,000001,Vente,126485,,,CHE DE RAVINE HOUEL,0085,97129,97115,Lamentin,971,,,97115000BD1025,,,,,,,,,,,,,0,,,,,T,terres,,,1311,-61.665827,16.26787
2024-1177995,2024-01-17,000001,Vente,38320,,,CHE DE CAFEIERE,0013,97129,97115,Lamentin,971,,,97115000AB0744,,,,,,,,,,,,,0,,,,,S,sols,,,722,-61.646723,16.271595
2024-1178037,2024-02-23,000001,Vente,130052,91,,RTE NATIONALE,0082,97129,97115,Lamentin,971,,,97115000BD0950,,,,,,,,,,,,,0,1,Maison,,,T,terres,,,786,-61.671333,16.271746
2024-1178042,2024-02-08,000001,Vente,50000,5167,,LE BOURG,B356,97129,97115,Lamentin,971,,,97115000AD0156,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,149,-61.631587,16.270671
