id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177831,2024-01-09,000001,Vente,125000,8001,,IMMEUBLE DU CONSUEL MIQUEL,C208,97139,97101,Les Abymes,971,,,97101000CN0005,,,33,84.83,,,,,,,,,1,2,Appartement,89,4,,,,,,-61.53329,16.246903
2024-1177832,2024-01-09,000001,Vente,65000,8011,,CITE HIBISCUS,A628,97139,97101,Les Abymes,971,,,97101000CY0035,,,84,,,,,,,,,,1,2,Appartement,54,3,,,,,,-61.527085,16.251788
2024-1177855,2024-01-17,000001,Vente,95000,1522,,RES APPOLINE CITE SIG,A053,97139,97101,Les Abymes,971,,,97101000CV0342,,,28,57.02,,,,,,,,,1,2,Appartement,53,3,,,,,,-61.519367,16.251964
2024-1177862,2024-01-16,000001,Vente,120000,,,LAFFONT,B121,97139,97101,Les Abymes,971,,,97101000CL0133,,,,,,,,,,,,,0,,,,,P,prés,,,1887,-61.524112,16.239526
2024-1177885,2024-01-11,000001,Vente,235000,9004,,MORNE UDOL,B177,97139,97101,Les Abymes,971,,,97101000CL0060,,,,,,,,,,,,,0,1,Maison,76,3,S,sols,,,763,-61.525254,16.242542
2024-1177885,2024-01-11,000001,Vente,235000,,,MORNE UDOL,B177,97139,97101,Les Abymes,971,,,97101000CL0062,,,,,,,,,,,,,0,,,,,S,sols,,,83,-61.52542,16.242496
2024-1177885,2024-01-11,000001,Vente,235000,,,MORNE UDOL,B177,97139,97101,Les Abymes,971,,,97101000CL0063,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,389,-61.525295,16.242427
2024-1177889,2024-01-15,000002,Vente,40000,9047,,DOTHEMARE,B083,97139,97101,Les Abymes,971,,,97101000AD1484,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,600,-61.5011,16.284245
2024-1177907,2024-01-18,000001,Vente,50000,,,PETIT PEROU,B203,97139,97101,Les Abymes,971,,,97101000BX1146,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,277,-61.515314,16.25328
2024-1177912,2024-01-22,000001,Vente,54000,8001,,LOT BAZIN,A154,97139,97101,Les Abymes,971,,,97101000BS0148,,,3,,,,,,,,,,1,2,Appartement,52,3,,,,,,-61.501844,16.269363
