id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177851,2024-01-15,000001,Vente,135000,9021,,GRISELLE,B053,97150,97127,Saint-Martin,971,,,97127000AW0060,,,42,37.88,,,,,,,,,1,4,Local industriel. commercial ou assimilé,46,0,,,,,,-63.025421,18.096474
2024-1177920,2024-01-12,000001,Vente,986000,2,,LOT MONT CHOISY,A043,97150,97127,Saint-Martin,971,,,97127000AP0396,,,2,,,,,,,,,,1,3,Dépendance,,0,,,,,,-63.073304,18.095177
2024-1177920,2024-01-12,000001,Vente,986000,2,,LOT MONT CHOISY,A043,97150,97127,Saint-Martin,971,,,97127000AP0396,,,2,,,,,,,,,,1,1,Maison,94,4,,,,,,-63.073304,18.095177
2024-1177924,2024-01-11,000001,Vente,200000,21,,IMP RUE DE LA PETITE PLAGE,0203,97150,97127,Saint-Martin,971,,,97127000BK0175,,,713,121.97,,,,,,,,,1,4,Local industriel. commercial ou assimilé,117,0,,,,,,-63.053251,18.108118
2024-1177926,2024-01-11,000001,Vente,138845,9046,,GRISELLE,B053,97150,97127,Saint-Martin,971,,,97127000AW0060,,,389,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,46,0,,,,,,-63.025421,18.096474
2024-1177946,2024-01-19,000001,Vente,2500000,506,,LOT LES TERRES BASSES,A026,97150,97127,Saint-Martin,971,,,97127000BI0148,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,250,-63.127405,18.063163
2024-1177946,2024-01-19,000001,Vente,2500000,506,,LOT LES TERRES BASSES,A026,97150,97127,Saint-Martin,971,,,97127000BI0148,,,,,,,,,,,,,0,,,,,S,sols,,,215,-63.127405,18.063163
2024-1177946,2024-01-19,000001,Vente,2500000,506,,LOT LES TERRES BASSES,A026,97150,97127,Saint-Martin,971,,,97127000BI0148,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,9556,-63.127405,18.063163
2024-1177946,2024-01-19,000001,Vente,2500000,509,,LOT LES TERRES BASSES,A026,97150,97127,Saint-Martin,971,,,97127000BI0443,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,2371,-63.126272,18.064936
2024-1177946,2024-01-19,000001,Vente,2500000,509,,LOT LES TERRES BASSES,A026,97150,97127,Saint-Martin,971,,,97127000BI0444,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,7596,-63.12565,18.064318
2024-1177959,2024-01-11,000001,Vente,77500,9022,,GRISELLE,B053,97150,97127,Saint-Martin,971,,,97127000AW0060,,,91,,,,,,,,,,1,2,Appartement,39,1,,,,,,-63.025421,18.096474
2024-1177960,2024-01-11,000001,Vente,155000,9025,,GRISELLE,B053,97150,97127,Saint-Martin,971,,,97127000AW0060,,,149,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,46,0,,,,,,-63.025421,18.096474
2024-1177998,2024-01-22,000001,Vente,730663,8,,LOT PARK VIEW,A041,97150,97127,Saint-Martin,971,,,97127000AV0417,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1569,-63.02774,18.099375
2024-1177998,2024-01-22,000001,Vente,730663,8,,LOT PARK VIEW,A041,97150,97127,Saint-Martin,971,,,97127000AV0417,,,,,,,,,,,,,0,1,Maison,207,5,S,sols,,,1569,-63.02774,18.099375
2024-1177999,2024-01-22,000001,Vente,140000,9011,,BAIE NETTLE,B010,97150,97127,Saint-Martin,971,,,97127000AB0076,,,36,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,54,0,,,,,,-63.115047,18.06348
2024-1178000,2024-01-15,000001,Vente,170000,,,CRIPPLE GATE,B028,97150,97127,Saint-Martin,971,,,97127000AN0371,,,,,,,,,,,,,0,,,,,S,sols,,,2244,-63.076107,18.083288
2024-1178000,2024-01-15,000001,Vente,170000,,,CRIPPLE GATE,B028,97150,97127,Saint-Martin,971,,,97127000AN0379,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,570,-63.076664,18.083653
2024-1178000,2024-01-15,000001,Vente,170000,,,CRIPPLE GATE,B028,97150,97127,Saint-Martin,971,,,97127000AN0380,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,500,-63.076587,18.083665
2024-1178040,2024-01-30,000001,Vente,318200,269,,LOT LES RES DE BAIE ORIENTALE,A025,97150,97127,Saint-Martin,971,,,97127000AW0640,,,8,,,,,,,,,,1,2,Appartement,45,2,,,,,,-63.020421,18.084976
