id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177829,2024-01-04,000001,Vente,159180,,,RES BOUGAINVILLIERS A PERINET,A019,97190,97113,Le Gosier,971,,,97113000BX1419,,,35,,,,,,,,,,1,2,Appartement,43,2,,,,,,-61.477244,16.205345
2024-1177852,2024-01-12,000001,Vente,159000,1,,RES LE CLOS DE MONTAUBAN,A317,97190,97113,Le Gosier,971,,,97113000CE0083,,,104,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.500564,16.208829
2024-1177852,2024-01-12,000001,Vente,159000,1,,RES LE CLOS DE MONTAUBAN,A317,97190,97113,Le Gosier,971,,,97113000CE0083,,,112,,,,,,,,,,1,2,Appartement,47,2,,,,,,-61.500564,16.208829
2024-1177856,2024-01-05,000001,Vente,127000,13,,RUE DE LA PLAGE DE PETIT HAVRE,0316,97190,97113,Le Gosier,971,,,97113000BN0247,,,3,22.92,,,,,,,,,1,2,Appartement,25,1,,,,,,-61.425341,16.210456
2024-1177863,2024-01-03,000001,Vente,274579,242,,RES LE MILLENIUM II,A116,97190,97113,Le Gosier,971,,,97113000AB0242,,,52,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.521056,16.215747
2024-1177863,2024-01-03,000001,Vente,274579,242,,RES LE MILLENIUM II,A116,97190,97113,Le Gosier,971,,,97113000AB0242,,,28,,,,,,,,,,1,2,Appartement,67,3,,,,,,-61.521056,16.215747
2024-1177863,2024-01-03,000001,Vente,274579,242,,RES LE MILLENIUM II,A116,97190,97113,Le Gosier,971,,,97113000AB0242,,,125,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.521056,16.215747
2024-1177864,2024-01-05,000001,Vente,177000,,,MONTAUBAN,B408,97190,97113,Le Gosier,971,,,97113000CD0319,,,36,,,,,,,,,,1,2,Appartement,40,1,,,,,,-61.500961,16.205885
2024-1177892,2024-01-11,000001,Vente,185000,1080,A,RUE DE LA RIVIERA,0375,97190,97113,Le Gosier,971,,,97113000AE1080,,,3,67.53,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.492882,16.217991
2024-1177892,2024-01-11,000001,Vente,185000,1080,A,RUE DE LA RIVIERA,0375,97190,97113,Le Gosier,971,,,97113000AE1080,,,3,67.53,,,,,,,,,1,2,Appartement,67,3,,,,,,-61.492882,16.217991
