id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177821,2024-01-08,000001,Vente,212000,,,RTE DE BELLEVUE,0026,97128,97114,Goyave,971,,,97114000AD0539,,,10,,19,,,,,,,,2,2,Appartement,69,3,,,,,,-61.581359,16.140704
2024-1177821,2024-01-08,000001,Vente,212000,,,RTE DE BELLEVUE,0026,97128,97114,Goyave,971,,,97114000AD0539,,,10,,19,,,,,,,,2,3,Dépendance,,0,,,,,,-61.581359,16.140704
2024-1177821,2024-01-08,000001,Vente,212000,,,RTE DE BELLEVUE,0026,97128,97114,Goyave,971,,,97114000AD0539,,,10,,19,,,,,,,,2,3,Dépendance,,0,,,,,,-61.581359,16.140704
2024-1177984,2024-01-23,000001,Vente,438850,367,,RUE DE LA FERME,0049,97128,97114,Goyave,971,,,97114000AH0327,,,,,,,,,,,,,0,2,Appartement,40,2,S,sols,,,663,-61.586072,16.149711
2024-1177984,2024-01-23,000001,Vente,438850,367,,RUE DE LA FERME,0049,97128,97114,Goyave,971,,,97114000AH0327,,,,,,,,,,,,,0,2,Appartement,31,2,S,sols,,,663,-61.586072,16.149711
2024-1177984,2024-01-23,000001,Vente,438850,367,,RUE DE LA FERME,0049,97128,97114,Goyave,971,,,97114000AH0327,,,,,,,,,,,,,0,2,Appartement,31,2,S,sols,,,663,-61.586072,16.149711
2024-1177984,2024-01-23,000001,Vente,438850,367,,RUE DE LA FERME,0049,97128,97114,Goyave,971,,,97114000AH0327,,,,,,,,,,,,,0,2,Appartement,31,2,S,sols,,,663,-61.586072,16.149711
2024-1177984,2024-01-23,000001,Vente,438850,367,,RUE DE LA FERME,0049,97128,97114,Goyave,971,,,97114000AH0327,,,,,,,,,,,,,0,2,Appartement,23,1,S,sols,,,663,-61.586072,16.149711
2024-1177984,2024-01-23,000001,Vente,438850,367,,RUE DE LA FERME,0049,97128,97114,Goyave,971,,,97114000AH0327,,,,,,,,,,,,,0,2,Appartement,23,1,S,sols,,,663,-61.586072,16.149711
2024-1178051,2024-01-24,000001,Vente,182500,,,RTE DE BELLEVUE,0026,97128,97114,Goyave,971,,,97114000AD0539,,,15,,24,,,,,,,,2,3,Dépendance,,0,,,,,,-61.581359,16.140704
2024-1178051,2024-01-24,000001,Vente,182500,,,RTE DE BELLEVUE,0026,97128,97114,Goyave,971,,,97114000AD0539,,,15,,24,,,,,,,,2,2,Appartement,69,3,,,,,,-61.581359,16.140704
2024-1178051,2024-01-24,000001,Vente,182500,,,RTE DE BELLEVUE,0026,97128,97114,Goyave,971,,,97114000AD0539,,,15,,24,,,,,,,,2,3,Dépendance,,0,,,,,,-61.581359,16.140704
2024-1178064,2024-02-09,000001,Vente,445000,,,CHE DE LA ROSE,0083,97128,97114,Goyave,971,,,97114000AE0527,,,,,,,,,,,,,0,,,,,T,terres,,,1485,-61.591018,16.162224
2024-1178064,2024-02-09,000001,Vente,445000,16,,SARCELLE,B060,97128,97114,Goyave,971,,,97114000AE0561,,,,,,,,,,,,,0,1,Maison,118,5,AB,terrains a bâtir,,,939,-61.592423,16.161748
2024-1178114,2024-02-29,000001,Vente,85000,1436,,CHE DE LA ROSE,0083,97128,97114,Goyave,971,,,97114000AE0093,,,,,,,,,,,,,0,1,Maison,69,4,S,sols,,,504,-61.587996,16.158548
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0910,,,,,,,,,,,,,0,,,,,B,bois,,,7,-61.602463,16.123564
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0911,,,,,,,,,,,,,0,,,,,B,bois,,,17,-61.602547,16.123563
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0912,,,,,,,,,,,,,0,,,,,B,bois,,,19,-61.60265,16.123561
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0913,,,,,,,,,,,,,0,,,,,B,bois,,,21,-61.602734,16.123558
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0914,,,,,,,,,,,,,0,,,,,B,bois,,,35,-61.602834,16.123547
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0915,,,,,,,,,,,,,0,,,,,B,bois,,,37,-61.60296,16.123532
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0916,,,,,,,,,,,,,0,,,,,B,bois,,,27,-61.603062,16.123523
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0917,,,,,,,,,,,,,0,,,,,B,bois,,,25,-61.603152,16.123509
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0918,,,,,,,,,,,,,0,,,,,B,bois,,,29,-61.603249,16.123502
2024-1178228,2024-03-04,000003,Echange,24530,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0919,,,,,,,,,,,,,0,,,,,B,bois,,,6,-61.603359,16.123494
2024-1178245,2024-03-08,000001,Vente,148930,,,MOREAU,B029,97128,97114,Goyave,971,,,97114000AR0916,,,,,,,,,,,,,0,,,,,B,bois,,,27,-61.603062,16.123523
2024-1178432,2024-03-28,000001,Vente,45620,216,,CHE DES HIBISCUS,0062,97128,97114,Goyave,971,,,97114000AL0470,,,4,69.9,,,,,,,,,1,2,Appartement,80,3,,,,,,-61.577472,16.132196
2024-1178444,2024-04-05,000001,Vente,415000,,,CHE DE LA ROSE,0083,97128,97114,Goyave,971,,,97114000AE0527,,,,,,,,,,,,,0,,,,,T,terres,,,1485,-61.591018,16.162224
2024-1178444,2024-04-05,000001,Vente,415000,2,,SARCELLE,B060,97128,97114,Goyave,971,,,97114000AE0547,,,,,,,,,,,,,0,3,Dépendance,,0,AB,terrains a bâtir,,,726,-61.590868,16.161097
2024-1178444,2024-04-05,000001,Vente,415000,2,,SARCELLE,B060,97128,97114,Goyave,971,,,97114000AE0547,,,,,,,,,,,,,0,1,Maison,118,5,AB,terrains a bâtir,,,726,-61.590868,16.161097
2024-1178532,2024-04-22,000001,Vente,195900,378,,LA ROSE OUEST,B041,97128,97114,Goyave,971,,,97114000AH0273,,,,,,,,,,,,,0,1,Maison,100,5,S,sols,,,500,-61.586879,16.150432
2024-1178532,2024-04-22,000001,Vente,195900,378,,LA ROSE OUEST,B041,97128,97114,Goyave,971,,,97114000AH0273,,,,,,,,,,,,,0,1,Maison,100,5,T,terres,,,1440,-61.586879,16.150432
2024-1178826,2024-05-22,000001,Vente,164340,262,,CHE DE LA PLAGE,0079,97128,97114,Goyave,971,,,97114000AN0473,,,,,,,,,,,,,0,,,,,T,terres,,,338,-61.570663,16.125503
