id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177828,2024-01-09,000002,Vente,3000,,,SEVERIN,B806,97115,97129,Sainte-Rose,971,,,97129000BL0885,,,,,,,,,,,,,0,,,,,T,terres,,,187,-61.690618,16.268057
2024-1177833,2024-01-12,000001,Vente,383000,,,PLESSIS NOGENT,B718,97115,97129,Sainte-Rose,971,,,97129000AB1048,,,,,,,,,,,,,0,,,,,S,sols,,,764,-61.736744,16.35572
2024-1177833,2024-01-12,000001,Vente,383000,,,PLESSIS NOGENT,B718,97115,97129,Sainte-Rose,971,,,97129000AB1050,,,,,,,,,,,,,0,,,,,S,sols,,,746,-61.736811,16.355411
2024-1177844,2024-01-16,000001,Vente,9000,,,SEVERIN,B806,97115,97129,Sainte-Rose,971,,,97129000BL0884,,,,,,,,,,,,,0,,,,,T,terres,,,502,-61.69054,16.267934
2024-1177860,2024-01-11,000001,Vente,427466,739,,SOFAIA,B814,97115,97129,Sainte-Rose,971,,,97129000BO0739,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1021,-61.713602,16.307496
2024-1177860,2024-01-11,000001,Vente,427466,739,,SOFAIA,B814,97115,97129,Sainte-Rose,971,,,97129000BO0739,,,,,,,,,,,,,0,1,Maison,114,4,S,sols,,,1021,-61.713602,16.307496
2024-1177868,2024-01-29,000001,Vente,249000,1001,1,BIS,B112,97115,97129,Sainte-Rose,971,,,97129000AZ1278,,,,,,,,,,,,,0,1,Maison,132,4,S,sols,,,630,-61.675138,16.275307
2024-1177891,2024-01-11,000001,Vente,97494,9999,,SAINT SAUVEUR LA MONTAGNE,B774,97115,97129,Sainte-Rose,971,,,97129000BO0784,,,,,,,,,,,,,0,,,,,S,sols,,,15,-61.717666,16.305477
2024-1177891,2024-01-11,000001,Vente,97494,9999,,SAINT SAUVEUR LA MONTAGNE,B774,97115,97129,Sainte-Rose,971,,,97129000BO0997,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,254,-61.717758,16.305564
2024-1177891,2024-01-11,000001,Vente,97494,9999,,SAINT SAUVEUR LA MONTAGNE,B774,97115,97129,Sainte-Rose,971,,,97129000BO0999,,,,,,,,,,,,,0,,,,,S,sols,,,460,-61.717849,16.305503
2024-1177895,2024-01-11,000001,Vente,170000,,,MAUGENDRE,B638,97115,97129,Sainte-Rose,971,,,97129000BK0708,,,,,,,,,,,,,0,,,,,S,sols,,,287,-61.689448,16.276007
2024-1177983,2024-02-15,000001,Vente,20000,,,IMP JOSEPH ZOBEL,0175,97115,97129,Sainte-Rose,971,,,97129000BI0576,,,,,,,,,,,,,0,,,,,T,terres,,,599,-61.682563,16.265054
2024-1177987,2024-01-19,000001,Vente,6000,,,JEANETTE,B518,97115,97129,Sainte-Rose,971,,,97129000AY0919,,,,,,,,,,,,,0,,,,,P,prés,,,11574,-61.641021,16.304831
2024-1178049,2024-01-22,000001,Vente,136000,,,SECOND,B798,97115,97129,Sainte-Rose,971,,,97129000BO0675,,,,,,,,,,,,,0,,,,,T,terres,,,1161,-61.710064,16.308902
2024-1178145,2024-03-06,000001,Vente,221000,,,BEAUVALLON,B040,97115,97129,Sainte-Rose,971,,,97129000AB0995,,,,,,,,,,,,,0,,,,,T,terres,,,850,-61.741893,16.35282
2024-1178145,2024-03-06,000001,Vente,221000,,,BEAUVALLON,B040,97115,97129,Sainte-Rose,971,,,97129000AB0996,,,,,,,,,,,,,0,,,,,T,terres,,,850,-61.74209,16.352867
2024-1178156,2024-02-29,000001,Vente,255000,8081,,LOT SAINVAL,A815,97115,97129,Sainte-Rose,971,,,97129000AR0529,,,,,,,,,,,,,0,1,Maison,87,3,S,sols,,,1000,-61.699153,16.305877
2024-1178159,2024-02-29,000001,Vente,60760,,,LEOTARD,B193,97115,97129,Sainte-Rose,971,,,97129000AV0335,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,694,-61.676395,16.307249
2024-1178174,2024-02-09,000001,Vente,318000,5069,,RTE DE LA ROCADE,0300,97115,97129,Sainte-Rose,971,,,97129000AO0048,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,210,0,S,sols,,,402,-61.697631,16.330632
2024-1178174,2024-02-09,000001,Vente,318000,5069,,RTE DE LA ROCADE,0300,97115,97129,Sainte-Rose,971,,,97129000AO0048,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,402,-61.697631,16.330632
2024-1178187,2024-02-22,000001,Vente,30000,,,MAUGENDRE,B638,97115,97129,Sainte-Rose,971,,,97129000BK0707,,,,,,,,,,,,,0,,,,,S,sols,,,459,-61.689197,16.276001
2024-1178201,2024-03-12,000001,Vente,230000,17,,ZAC DE LA BOUCAN,B209,97115,97129,Sainte-Rose,971,,,97129000BC0705,,,,,,,,,,,,,0,1,Maison,72,4,S,sols,,,461,-61.670994,16.278976
2024-1178202,2024-03-05,000001,Vente,151000,,,LE COMTE DE LOHEAC,B296,97115,97129,Sainte-Rose,971,,,97129000AI0639,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1035,-61.72344,16.339826
2024-1178256,2024-03-15,000001,Vente,435013,9102,,LOTISSEMENT CAP EMERAUDE,A803,97115,97129,Sainte-Rose,971,,,97129000AB0304,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,800,-61.735754,16.356334
2024-1178256,2024-03-15,000001,Vente,435013,9102,,LOTISSEMENT CAP EMERAUDE,A803,97115,97129,Sainte-Rose,971,,,97129000AB0304,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,800,-61.735754,16.356334
2024-1178275,2024-02-26,000002,Vente,227500,5000,,GONON,B446,97115,97129,Sainte-Rose,971,,,97129000AI1052,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,152,0,,,,,,-61.714652,16.335213
2024-1178275,2024-02-26,000002,Vente,227500,5000,,GONON,B446,97115,97129,Sainte-Rose,971,,,97129000AI1052,,,,,,,,,,,,,0,1,Maison,100,3,,,,,,-61.714652,16.335213
2024-1178283,2024-02-29,000001,Vente,85500,,,BELLEVUE,B088,97115,97129,Sainte-Rose,971,,,97129000AT0819,,,,,,,,,,,,,0,,,,,T,terres,,,1580,-61.69189,16.315611
2024-1178283,2024-02-29,000001,Vente,85500,,,BELLEVUE,B088,97115,97129,Sainte-Rose,971,,,97129000AT0820,,,,,,,,,,,,,0,,,,,T,terres,,,4817,-61.692053,16.315185
2024-1178295,2024-03-05,000001,Vente,65000,5527,,CITE DES FONCTIONNAIRES,A111,97115,97129,Sainte-Rose,971,,,97129000AO0011,,,,,,,,,,,,,0,1,Maison,70,5,S,sols,,,405,-61.699103,16.328684
2024-1178298,2024-03-05,000001,Vente,45260,3,,CITE DES FONCTIONNAIRES,A111,97115,97129,Sainte-Rose,971,,,97129000AO0016,,,,,,,,,,,,,0,1,Maison,64,4,S,sols,,,412,-61.699658,16.328747
2024-1178299,2024-03-05,000001,Vente,7210,5020,,MORNE-ROUGE,B662,97115,97129,Sainte-Rose,971,,,97129000AY0439,,,,,,,,,,,,,0,1,Maison,125,4,AB,terrains a bâtir,,,515,-61.655751,16.301927
2024-1178301,2024-03-05,000001,Vente,51600,5534,,CITE DES FONCTIONNAIRES,A111,97115,97129,Sainte-Rose,971,,,97129000AO0018,,,,,,,,,,,,,0,1,Maison,64,4,S,sols,,,531,-61.699864,16.328858
2024-1178322,2024-03-22,000002,Echange,6960,,,BIS,B112,97115,97129,Sainte-Rose,971,,,97129000BK0719,,,,,,,,,,,,,0,,,,,S,sols,,,58,-61.684768,16.27615
2024-1178322,2024-03-22,000003,Echange,6960,,,BIS,B112,97115,97129,Sainte-Rose,971,,,97129000BK0721,,,,,,,,,,,,,0,,,,,S,sols,,,58,-61.68469,16.276321
